ROAD	Time of the Day	Traffic Weight
VND-VND1	0-9	2
	9-14	5
	14-17	4
	17-0	2
VND1-VND2	0-5	5
	9-14	10
	14-17	14
	17-0	7
VND2-VND3	0-9	5
	9-14	15
	14-17	12
	17-0	5
VND3-VND4	0-6	15
	6-10	21
	10-13	15
	13-15	17
	15-18	6
	18-0	3
VND4-RHS	0-4	10
	4-7	15
	7-10	20
	10-16	35
	16-20	28
	20-0	7
RHS-CBG	0-6	10
	6-10	15
	10-12	23
	12-14	30
	14-17	28
	17-20	16
	20-0	10
RHS-RHS1	0-9	2
	9-12	6
	12-15	8
	15-17	5
	17-0	2
RHS1-RHS2	0-9	2
	9-12	6
	12-15	8
	15-17	5
	17-0	2
RHS2-RHS3	0-9	6
	9-14	12
	14-17	7
	17-0	3
RHS3-RHS4	0-12	5
	12-0	5
RHS4-RHS5	0-9	5
	9-12	10
	12-16	9
	16-0	7
RHS5-NVFS2	0-12	5
	12-0	5
NVFS-NVFS1	0-12	5
	12-0	5
NVFS1-NVFS2	0-9	5
	9-12	10
	12-16	9
	16-0	7
NVFS2-CBG	0-6	10
	6-8	16
	8-10	26
	10-14	39
	14-17	35
	17-20	21
	20-0	15
CBG-CBG1	0-5	7
	5-15	10
	15-20	8
	20-24	7
CBG1-CBG2	0-9	5
	9-12	10
	12-16	9
	16-0	7
CBG2-CBG3	0-12	5
	12-0	5
CBG3-VM	0-10	7
	10-12	12
	12-14	15
	14-16	14
	16-21	10
	21-0	7
CBG-CBG4	0-8	10
	8-12	20
	12-15	25
	15-22	20
	22-0	15
CBG4-CBG5	0-5	5
	9-14	10
	14-17	14
	17-0	7
CBG5-ASAR	0-6	10
	6-8	17
	8-10	20
	10-12	25
	12-15	34
	15-18	32
	18-22	25
	22-0	15
GEU-GEU1	0-6	5
	6-8	10
	8-10	13
	10-12	20
	12-14	19
	14-16	15
	16-18	12
	18-0	5
GEU1-GEU2	0-6	2
	6-8	5
	8-10	10
	10-12	8
	12-14	10
	14-16	10
	16-0	5
GEU2-GEHU	0-6	5
	6-8	10
	8-10	13
	10-12	20
	12-14	19
	14-16	15
	16-0	12
GEHU-CBG5	0-6	5
	6-8	10
	8-10	13
	10-12	20
	12-14	19
	14-16	15
	16-0	12
TSDM-TSDM1	0-12	5
	12-0	5
TSDM1-ASAR	0-5	5
	9-14	10
	14-17	14
	17-0	7
VM-VM1	0-10	7
	10-12	12
	12-14	15
	14-16	14
	16-21	10
	21-0	7
VM1-VM2	0-10	9
	10-12	11
	12-14	13
	14-16	17
	16-21	8
	21-0	7
VM2-RDWD	0-10	9
	10-12	11
	12-14	13
	14-16	10
	16-21	8
	21-0	5
RDWD-RDWD1	0-5	5
	9-14	8
	14-17	10
	17-0	7
RDWD1-RDWD2	0-5	5
	9-14	10
	14-17	14
	17-0	7
RDWD2-RDWD3	0-12	2
	12-0	2
RDWD3-RDWD4	0-9	2
	9-14	5
	14-17	4
	17-0	2
RDWD4-ASAR	0-8	5
	8-13	8
	13-15	7
	15-0	5
ASAR-ASAR1	0-6	20
	6-8	23
	8-10	30
	10-4	45
	4-0	36
ASAR1-ISBT	0-6	15
	6-10	20
	10-12	25
	12-15	45
	15-18	35
	18-22	25
	22-0	15
